date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:08:50	30670/30670	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:08:49%20GMT	https://sman3klaten.sch.id/index.php/web/contact	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/contact.html	(from https://www.sman3klaten.sch.id/)
23:08:50	8806/8806	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:08:50%20GMT	https://sman3klaten.sch.id/system/application/views/main-web/images/	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/system/application/views/main-web/images/index.html	(from https://www.sman3klaten.sch.id/)
23:08:51	17290/17290	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Jul%202021%2003:55:49%20GMT	https://sman3klaten.sch.id/system/application/views/main-web/images/welcome.png	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/system/application/views/main-web/images/welcome.png	(from https://www.sman3klaten.sch.id/)
23:08:52	30803/30803	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:08:51%20GMT	https://sman3klaten.sch.id/index.php/web/data/1.1	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/1.html	(from https://www.sman3klaten.sch.id/)
23:08:53	30645/30645	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:08:52%20GMT	https://sman3klaten.sch.id/index.php/web/data/1.2	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/1-2.html	(from https://www.sman3klaten.sch.id/)
23:08:54	28580/28580	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:08:53%20GMT	https://sman3klaten.sch.id/index.php/web/data/1.4	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/1-3.html	(from https://www.sman3klaten.sch.id/)
23:08:55	28836/28836	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:08:54%20GMT	https://sman3klaten.sch.id/index.php/web/data/1.5	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/1-4.html	(from https://www.sman3klaten.sch.id/)
23:08:56	28236/28236	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:08:55%20GMT	https://sman3klaten.sch.id/index.php/web/data/2.1	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/2.html	(from https://www.sman3klaten.sch.id/)
23:08:57	28318/28318	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:08:56%20GMT	https://sman3klaten.sch.id/index.php/web/data/3.1	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/3.html	(from https://www.sman3klaten.sch.id/)
23:08:58	45804/45804	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:08:57%20GMT	https://sman3klaten.sch.id/index.php/web/data/3.2	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/3-2.html	(from https://www.sman3klaten.sch.id/)
23:08:59	27357/27357	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:08:58%20GMT	https://sman3klaten.sch.id/index.php/web/data/3.3	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/3-3.html	(from https://www.sman3klaten.sch.id/)
23:09:00	31318/31318	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:08:59%20GMT	https://sman3klaten.sch.id/index.php/web/data/3.4	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/3-4.html	(from https://www.sman3klaten.sch.id/)
23:09:01	30522/30522	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:00%20GMT	https://sman3klaten.sch.id/index.php/web/data/3.5	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/3-5.html	(from https://www.sman3klaten.sch.id/)
23:09:02	34942/34942	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:01%20GMT	https://sman3klaten.sch.id/index.php/web/data/4.2	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/4.html	(from https://www.sman3klaten.sch.id/)
23:09:03	31725/31725	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:02%20GMT	https://sman3klaten.sch.id/index.php/web/data/6.1	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/6.html	(from https://www.sman3klaten.sch.id/)
23:09:04	27520/27520	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:03%20GMT	https://sman3klaten.sch.id/index.php/web/data/5.7	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/5.html	(from https://www.sman3klaten.sch.id/)
23:09:05	27350/27350	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:04%20GMT	https://sman3klaten.sch.id/index.php/web/data/5.6	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/5-2.html	(from https://www.sman3klaten.sch.id/)
23:09:06	27348/27348	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:05%20GMT	https://sman3klaten.sch.id/index.php/web/data/5.2	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/5-3.html	(from https://www.sman3klaten.sch.id/)
23:09:07	27346/27346	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:06%20GMT	https://sman3klaten.sch.id/index.php/web/data/5.3	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/5-4.html	(from https://www.sman3klaten.sch.id/)
23:09:08	27485/27485	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:07%20GMT	https://sman3klaten.sch.id/index.php/web/data/5.4	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/5-5.html	(from https://www.sman3klaten.sch.id/)
23:09:09	27351/27351	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:08%20GMT	https://sman3klaten.sch.id/index.php/web/data/5.5	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/5-6.html	(from https://www.sman3klaten.sch.id/)
23:09:10	277992/277992	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Mar%202017%2007:42:32%20GMT	https://sman3klaten.sch.id/system/application/views/main-web/images/Untitled-13.jpg	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/system/application/views/main-web/images/Untitled-13.jpg	(from https://www.sman3klaten.sch.id/)
23:09:11	101287/101287	---M--	200	added ('OK')	image/jpeg	date:Sat,%2015%20Aug%202015%2000:57:04%20GMT	https://sman3klaten.sch.id/system/application/views/main-web/images/Untitled-12.jpg	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/system/application/views/main-web/images/Untitled-12.jpg	(from https://www.sman3klaten.sch.id/)
23:09:12	283218/283218	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Mar%202017%2007:37:20%20GMT	https://sman3klaten.sch.id/system/application/views/main-web/images/Untitled-11.jpg	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/system/application/views/main-web/images/Untitled-11.jpg	(from https://www.sman3klaten.sch.id/)
23:09:13	31299/31299	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:12%20GMT	https://sman3klaten.sch.id/index.php/web/data/7	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/7.html	(from https://www.sman3klaten.sch.id/)
23:09:14	27636/27636	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:13%20GMT	https://sman3klaten.sch.id/index.php/web/data/8	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/8.html	(from https://www.sman3klaten.sch.id/)
23:09:15	31410/31410	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:14%20GMT	https://sman3klaten.sch.id/index.php/web/data/9	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/9.html	(from https://www.sman3klaten.sch.id/)
23:09:16	26764/26764	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:15%20GMT	https://sman3klaten.sch.id/index.php/web/data/10	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/10.html	(from https://www.sman3klaten.sch.id/)
23:09:17	31957/31957	---MC-	200	added ('OK')	text/html	date:Fri,%2008%20Jul%202022%2006:09:16%20GMT	https://sman3klaten.sch.id/index.php/web/data/11	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/index.php/web/data/11.html	(from https://www.sman3klaten.sch.id/)
23:09:17	21234/21234	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jan%202022%2007:50:18%20GMT	https://sman3klaten.sch.id/system/application/views/main-web/images/aguscahyo3.jpg	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/system/application/views/main-web/images/aguscahyo3.jpg	(from https://www.sman3klaten.sch.id/)
23:09:19	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2008%20Jul%202022%2006:09:18%20GMT	http://elearning.sman3klaten.sch.id/	/Users/jeffhuen/websites/sman3klaten/elearning.sman3klaten.sch.id/index.html	(from https://www.sman3klaten.sch.id/)
23:09:22	0/0	---M--	302	error ('Found')	text/html		http://dapo.kemdikbud.go.id/	/Users/jeffhuen/websites/sman3klaten/dapo.kemdikbud.go.id/index.html	(from https://www.sman3klaten.sch.id/)
23:09:22	241/241	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2008%20Jul%202022%2006:09:18%20GMT	https://sman3klaten.sch.id/lulus	/Users/jeffhuen/websites/sman3klaten/sman3klaten.sch.id/lulus	(from https://www.sman3klaten.sch.id/)
